"filename", "language", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "TypeScript JSX", "XML", "Markdown", "Prisma", "CSS", "comment", "blank", "total"
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/products/[productId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/products/components/cell-action.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 7, 80
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/products/components/client.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/products/components/columns.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/products/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 4, 46
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/settings/components/settings-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 10, 127
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/weights/[weightId]/components/weight-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 11, 147
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/weights/[weightId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/weights/components/cell-action.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 8, 81
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/weights/components/client.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/weights/components/columns.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/(routes)/weights/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"/Users/jakehumphrey/avixoh-admin/app/(dashboard)/[storeId]/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"/Users/jakehumphrey/avixoh-admin/app/(root)/(routes)/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 8, 22
"/Users/jakehumphrey/avixoh-admin/app/(root)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/billboards/[billboardId]/route.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 24, 122
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/billboards/route.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 16, 78
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/brands/[brandId]/route.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 24, 122
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/brands/route.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 16, 78
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/categories/[categoryId]/route.ts", "TypeScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 24, 125
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/categories/route.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 16, 78
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/checkout/route.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/products/[productId]/route.ts", "TypeScript", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 29, 176
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/products/route.ts", "TypeScript", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 20, 128
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/weights/[weightId]/route.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 24, 122
"/Users/jakehumphrey/avixoh-admin/app/api/[storeId]/weights/route.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 16, 78
"/Users/jakehumphrey/avixoh-admin/app/api/stores/[storeId]/route.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 14, 73
"/Users/jakehumphrey/avixoh-admin/app/api/stores/route.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"/Users/jakehumphrey/avixoh-admin/app/api/webhook/route.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 10, 67
"/Users/jakehumphrey/avixoh-admin/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 23, 84
"/Users/jakehumphrey/avixoh-admin/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"/Users/jakehumphrey/avixoh-admin/components.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"/Users/jakehumphrey/avixoh-admin/components/main-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 4, 75
